C,D,E,F,G,H,I,K,N,O,R,S,T,U,V,W,Y,Z
0,21.2,39.9333333333,18.2,44.73,23.39,37.9666666667,37.4,4.43,58.36,22.39,38.76,20.9633333333,44.86,3.2,753.2,2,25
0,21.2,40.06,18.4975,44.7475,23.5,37.9666666667,37.47,4.9566666667,58.6333333333,22.3566666667,38.9333333333,21,44.5266666667,3.4166666667,753.3166666667,2.1666666667,27.5
0,21.2,40.5,18.93,44.1333333333,23.5666666667,37.9,37.612,5.3966666667,58.76,22.29,39.1333333333,21.0666666667,44.2666666667,3.6333333333,753.4333333333,2.3333333333,30
0,21.26,40.56,19.23,43.6333333333,23.6,37.9,37.7257142857,5.7966666667,58.2933333333,22.3233333333,39.23,21.49,43.2933333333,3.85,753.55,2.5,32.5
0,21.29,40.7666666667,19.3566666667,43.36,23.6,37.9,37.7,6.2933333333,56.3933333333,22.39,39.3633333333,22.03,42.1666666667,4.0666666667,753.6666666667,2.6666666667,35
0,21.29,40.7666666667,19.5,42.9,23.6,37.8266666667,37.7514285714,6.4333333333,51.2666666667,22.29,39.4666666667,21.8266666667,41.6633333333,4.2833333333,753.7833333333,2.8333333333,37.5
10,21.29,40.5666666667,19.6333333333,42.5,23.5333333333,37.8266666667,37.894,6.6,46.4933333333,22.29,39.4,21.6333333333,41.4633333333,4.5,753.9,3,40
10,21.29,40.5666666667,19.89,41.96,23.43,37.5633333333,38.1942857143,7.06,41.9666666667,22.29,39.29,21.39,40.9,4.8,753.9666666667,3.1666666667,40
20,21.29,40.4,19.89,41.7,23.1475,37.3975,38.334,7.2966666667,38.7933333333,22.23,39.1566666667,21.3233333333,40.5666666667,5.1,754.0333333333,3.3333333333,40
20,21.29,40.3266666667,19.8233333333,41.7,23.1,37.5,38.4571428571,7.03,39.5333333333,22.29,39.09,21.2,40.1333333333,5.4,754.1,3.5,40
20,21.29,40.1333333333,19.89,41.5,23.1,37.43,38.5,7.2266666667,36.66,22.29,39.09,21.1333333333,40.8,5.7,754.1666666667,3.6666666667,40
10,21.29,39.9333333333,20.3666666667,41.1666666667,23.0333333333,37.23,38.5957142857,7.7,35.7333333333,22.245,39.095,21.1,41.5966666667,6,754.2333333333,3.8333333333,40
30,21.39,39.745,20.9666666667,40.3666666667,23,37.1633333333,38.59,8.5333333333,32.6333333333,22.2,39.3266666667,21.1,41.73,6.3,754.3,4,40
10,21.39,39.59,21.0666666667,39.56,23,37.09,38.4557142857,7.5933333333,46.6266666667,22.26,39.5266666667,21.1,41.43,6.6,754.4166666667,4,40
20,21.39,39.59,20.86,39.56,23,37.1633333333,38.4,6.59,56.6966666667,22.2,39.3333333333,21.1,41.0966666667,6.9,754.5333333333,4,40
20,21.5333333333,42.6933333333,20.96,39.89,23,37.09,38.4714285714,6.87,59.2925,22.2,39.0666666667,21.1,40.6333333333,7.2,754.65,4,40
20,21.6666666667,45.8266666667,21.2266666667,40.89,23.1,37.2,38.59,7.23,59.9,22.2,38.7233333333,21.1,40.36,7.5,754.7666666667,4,40
10,21.73,50.6333333333,21.5666666667,42.6966666667,23.1,37.4,38.6528571429,7.7266666667,60.1933333333,22.2,38.6633333333,21.1,40.045,7.8,754.8833333333,4,40
0,21.8566666667,52.6933333333,21.9,43.6966666667,23.1,37.86,38.7666666667,8.2,60.4666666667,22.23,38.8266666667,21.1,40,8.1,755,4,40
0,21.8233333333,51.9566666667,22.1633333333,45.03,23.1,38.1933333333,38.9285714286,8.5633333333,56.2333333333,22.29,38.8266666667,21.1,40.1933333333,8.0333333333,755.0833333333,4,40
0,21.89,50.5633333333,22.365,44.9225,23.1,38.59,38.8685714286,9.0233333333,43.4933333333,22.3233333333,38.7,21.1,40.9333333333,7.9666666667,755.1666666667,4,40
0,22,48.4266666667,22.39,43.9333333333,23.1,38.7233333333,38.9,9.16,32.8233333333,22.39,38.5666666667,21.1,40.7266666667,7.9,755.25,4,40
0,22,47.0933333333,22.26,43.1233333333,23.1,38.9,38.7928571429,8.8266666667,31.43,22.5,38.4666666667,21.0666666667,40.0633333333,7.8333333333,755.3333333333,4,40
0,22,45.7333333333,22.1333333333,42.4566666667,23.1,38.9,38.736,8.5333333333,34.66,22.5666666667,38.3266666667,21,39.79,7.7666666667,755.4166666667,4,40
0,22.0666666667,44.8666666667,22.1,41.8633333333,23.0333333333,38.9,38.6685714286,8.8666666667,35.7333333333,22.6333333333,38.2,21,39.3633333333,7.7,755.5,4,40
0,22.0333333333,44.3633333333,22.0333333333,41.33,23.1,38.9,38.634,8.9266666667,35.8633333333,22.7,38.1266666667,21,39.23,7.4166666667,755.55,3.5,40
10,22.2266666667,44.6966666667,22,41.03,23.0666666667,38.76,38.5714285714,9.1266666667,39.7233333333,22.73,38,21,38.9666666667,7.1333333333,755.6,3,40
0,22.29,44.2,22,41.1633333333,23,38.6266666667,38.36,9.3233333333,38.49,22.79,38,21,38.9,6.85,755.65,2.5,40
0,22.3566666667,45.0666666667,22,41.1633333333,23.05,38.645,38.1685714286,9.3966666667,35.43,22.8233333333,37.8633333333,21,38.76,6.5666666667,755.7,2,40
0,22.5,45.2966666667,22,40.9633333333,23,38.56,38.09,10.0666666667,28.9666666667,22.89,37.73,21,38.96,6.2833333333,755.75,1.5,40
0,22.5,43.5566666667,21.9266666667,40.5266666667,23.0666666667,38.5,37.9057142857,10.0666666667,17.8933333333,22.89,37.56,21,39.4933333333,6,755.8,1,40
0,22.6,42.3933333333,21.9266666667,40.2666666667,23,38.3633333333,37.596,10.1666666667,10.0666666667,22.89,37.2,21,40.0266666667,6.4333333333,755.85,1.6666666667,40
0,22.625,41.5,22,39.6933333333,23,38.23,37.2571428571,10.5475,7.05,22.89,36.6933333333,21,40.5666666667,6.8666666667,755.9,2.3333333333,40
0,22.7,40.8,22,39.3,23.1,38.26,36.96,10.69,9.5266666667,22.89,36.2233333333,21,40.7,7.3,755.95,3,40
10,22.73,40.2233333333,21.89,38.93,23.0333333333,38.0666666667,36.7257142857,10.8666666667,8.5266666667,22.8233333333,35.83,21,40.7,7.7333333333,756,3.6666666667,40
0,22.79,39.83,21.8233333333,38.53,23,37.9,36.418,10.8666666667,8.86,22.8233333333,35.43,21,40.6266666667,8.1666666667,756.05,4.3333333333,40
0,22.79,39.5266666667,21.79,38.2233333333,23.0666666667,37.9,36.2257142857,11.1666666667,6.7266666667,22.8233333333,35.0966666667,21,40.495,8.6,756.1,5,40
0,22.79,39.2666666667,21.8566666667,37.9633333333,23,37.59,35.96,11.5,6.5333333333,22.8233333333,34.9,21,40.1333333333,8.6833333333,756.1166666667,4.8333333333,40
0,22.89,39.1,21.8566666667,37.6333333333,23,37.4633333333,35.8371428571,11.36,7.9,22.8233333333,34.9,21,39.9333333333,8.7666666667,756.1333333333,4.6666666667,40
0,22.89,38.7666666667,21.79,37.4333333333,22.9633333333,37.26,35.714,11.5,4.4333333333,22.79,34.76,21,39.79,8.85,756.15,4.5,40
20,22.89,38.56,21.79,37.1,22.9633333333,37.26,35.5514285714,11.2333333333,13.46,22.79,34.76,21,39.79,8.9333333333,756.1666666667,4.3333333333,40
20,22.89,38.56,21.7,37.1266666667,22.89,37.23,35.79,9.8333333333,26.1333333333,22.79,35,21,39.8266666667,9.0166666667,756.1833333333,4.1666666667,40
20,22.89,38.26,21.6333333333,37.26,22.89,37.29,36.0085714286,8.9333333333,25.0666666667,22.79,35.46,21,40.0266666667,9.1,756.2,4,40
10,22.89,38.1266666667,21.5,37.4,22.79,37.23,36.276,8.86,25.0666666667,22.89,35.9633333333,21,40.29,9.2,756.2666666667,4.5,40
20,22.79,37.8633333333,21.5,37.4,22.79,37.23,36.475,9.19,20.0933333333,22.9633333333,36.2233333333,21,40.23,9.3,756.3333333333,5,40
20,22.8566666667,37.8633333333,21.39,37.26,22.76,37.2,36.4285714286,9.2633333333,15.1,23,36.4,20.9266666667,39.99,9.4,756.4,5.5,40
20,22.79,37.79,21.39,37.1266666667,22.7,37.1266666667,36.46,9.63,14.1266666667,23.0666666667,36.5266666667,21,39.79,9.5,756.4666666667,6,40
20,22.79,37.79,21.29,37.09,22.745,37,36.4,9.63,13.3266666667,23.1,36.73,20.9266666667,39.79,9.6,756.5333333333,6.5,40
10,22.79,37.76,21.23,37.03,22.7,36.9,36.378,9.5633333333,12.9,23.1666666667,36.79,21,39.79,9.7,756.6,7,40
20,22.79,37.8333333333,21.2,37,22.7,36.9,36.3685714286,9.8233333333,13.4333333333,23.2,37.03,21,39.79,9.5833333333,756.6666666667,7.1666666667,40
20,22.8233333333,38.2566666667,21.2,37,22.79,36.79,36.4,9.745,15.9,23.2,37.1633333333,21,39.79,9.4666666667,756.7333333333,7.3333333333,40
20,22.89,38.6633333333,21.1666666667,37.4933333333,22.73,36.79,36.47,9.6,14.9266666667,23.29,37.5,21,39.79,9.35,756.8,7.5,40
20,22.89,41.69,21.1,37.9666666667,22.73,36.79,36.59,9.66,15.3333333333,23.3233333333,37.89,21,39.79,9.2333333333,756.8666666667,7.6666666667,40
10,23,43.0666666667,21.1,38.89,22.79,36.8633333333,36.59,9.8,14.9333333333,23.39,38.2233333333,21,39.79,9.1166666667,756.9333333333,7.8333333333,40
20,23,41.6666666667,21.1,39.09,22.79,37.03,36.536,9.7266666667,14.3266666667,23.39,38.3633333333,21,39.79,9,757,8,40
20,23,40.7966666667,21.1,39.06,22.79,37.09,36.6057142857,10.0333333333,12.5566666667,23.39,38.23,21,39.79,9.05,757.05,7.6666666667,40
20,23,40.39,21.1,38.9333333333,22.8566666667,37.1333333333,36.718,10.0333333333,12.6966666667,23.5,38.1333333333,21,39.79,9.1,757.1,7.3333333333,40
10,22.9633333333,39.93,21.2,38.7,22.79,37,36.8685714286,10.16,15.0333333333,23.5,38,21,39.79,9.15,757.15,7,40
20,22.89,39.73,21.1333333333,38.6266666667,22.8566666667,36.8633333333,37,9.96,16.6333333333,23.6,38,21,39.73,9.2,757.2,6.6666666667,40
10,22.9266666667,41.3266666667,21.1,38.86,22.79,36.8633333333,37.0128571429,9.53,16.16,23.6,38.06,21,39.5966666667,9.25,757.25,6.3333333333,40
0,23,44.5266666667,21.1,41.6425,22.79,36.8633333333,37.09,9.1966666667,17.16,23.6666666667,38.0266666667,21,39.6266666667,9.3,757.3,6,40
0,23,45.4233333333,21.0333333333,43.9233333333,22.79,37.0633333333,37.0257142857,8.9333333333,18.1333333333,23.6,37.7666666667,20.9266666667,39.7,9.1833333333,757.3666666667,5.8333333333,40
0,23,45.03,21,44.23,22.8233333333,37.4333333333,36.79,8.8,17.5933333333,23.6,37.9333333333,21,39.6633333333,9.0666666667,757.4333333333,5.6666666667,40
0,23.1,46.5266666667,20.9266666667,44.29,22.89,37.5,36.6057142857,8.8,17.9,23.6666666667,38.1933333333,20.9266666667,39.59,8.95,757.5,5.5,40
