c,d,e,f,g,h,I,k,n,o,r,s,t,u,v,w,y,z
20,21.5333333333,44.9666666667,20.79,44.36,20.4266666667,45.9333333333,47.5,5.6566666667,86.2266666667,19.3566666667,49.03,16.8233333333,44.53,5.65,735.8833333333,6.1666666667,40
20,21.6,44.7666666667,20.89,44.2233333333,20.5,45.9333333333,47.6266666667,5.8333333333,85.7666666667,19.39,48.8633333333,16.89,44.59,5.7,735.9666666667,6.3333333333,40
30,21.6,44.56,20.9633333333,43.9633333333,20.5,45.79,47.5666666667,5.9,85.0333333333,19.39,48.8633333333,16.89,44.5225,5.75,736.05,6.5,40
20,21.6,44.36,21,43.8333333333,20.5,45.73,47.2233333333,6,84.1266666667,19.34,48.95,16.8233333333,44.4333333333,5.8,736.1333333333,6.6666666667,40
20,21.6,44.2,21,43.7,20.5,45.59,47.03,6,84.06,19.29,49.23,16.89,44.5,5.85,736.2166666667,6.8333333333,40
20,21.6,44.2,21,43.59,20.4175,45.545,46.5266666667,5.9666666667,84.79,19.3566666667,49.43,16.89,44.5,5.9,736.3,7,40
20,21.6,44.2,21,43.59,20.39,45.6633333333,46.4,5.9,85.5966666667,19.39,49.89,16.89,45.0666666667,5.8,736.4,6.8333333333,37
10,21.6,44.2,21,43.7,20.29,45.73,46.4333333333,5.7633333333,86.26,19.39,50.1633333333,16.89,45.26,5.7,736.5,6.6666666667,34
20,21.5,44.23,20.9266666667,43.76,20.29,45.79,46.5675,5.6233333333,86.5933333333,19.39,50.4633333333,16.89,45.4333333333,5.6,736.6,6.5,31
20,21.5,44.3633333333,20.89,43.845,20.29,45.79,46.59,5.59,87.4966666667,19.39,50.7233333333,16.89,45.56,5.5,736.7,6.3333333333,28
20,21.39,44.4333333333,20.79,43.79,20.23,45.6566666667,46.79,5.59,87.8966666667,19.39,50.9633333333,16.89,45.6266666667,5.4,736.8,6.1666666667,25
10,21.39,44.56,20.79,43.8633333333,20.2,45.6633333333,46.79,5.59,88.6333333333,19.39,51.1633333333,16.89,45.7,5.3,736.9,6,22
20,21.29,44.8266666667,20.7,44,20.2,45.59,46.9333333333,5.53,89.0266666667,19.4633333333,51.5,16.89,45.79,5.2666666667,737,6,25
20,21.29,44.9666666667,20.6333333333,44,20.1666666667,45.5,47.1333333333,5.53,89.4,19.39,51.56,16.89,45.8633333333,5.2333333333,737.1,6,28
20,21.26,45.09,20.6,44.03,20.1,45.5,47.23,5.53,89.1933333333,19.39,51.86,16.89,45.9,5.2,737.2,6,31
10,21.2,45.09,20.6,44.09,20.1,45.5,47.23,5.4,89.4,19.39,52,16.89,45.9666666667,5.1666666667,737.3,6,34
20,21.1666666667,45.23,20.5,44.1266666667,20.1,45.5,47.36,5.2,88.99,19.3566666667,52.09,16.89,46.03,5.1333333333,737.4,6,37
20,21.075,45.3725,20.5,44.2,20.1,45.53,47.56,4.8666666667,89.0633333333,19.29,52.1633333333,16.89,46.09,5.1,737.5,6,40
20,21,45.4,20.39,44.2,20.1,45.59,47.4666666667,4.9333333333,91.16,19.29,52.5,16.89,46.2,5.1166666667,737.6333333333,5.8333333333,40
10,21,45.59,20.39,44.26,20.1,45.59,47.4,5,91.4333333333,19.23,52.9,16.89,46.2,5.1333333333,737.7666666667,5.6666666667,40
0,20.9266666667,45.59,20.29,44.29,20.1666666667,45.53,46.9666666667,4.8666666667,91.26,19.29,53.5,16.89,46.29,5.15,737.9,5.5,40
0,20.89,45.6666666667,20.23,44.29,20.1333333333,45.5,46.2266666667,4.7266666667,91.5933333333,19.29,53.96,16.89,46.4333333333,5.1666666667,738.0333333333,5.3333333333,40
0,20.89,46.06,20.2,44.4,20.2,45.5,46.06,4.4666666667,91.76,19.29,54.4633333333,16.89,46.6333333333,5.1833333333,738.1666666667,5.1666666667,40
0,20.79,46.2,20.2,44.4666666667,20.1666666667,45.5,45.9333333333,4.3333333333,91.76,19.2225,54.7225,16.89,46.8266666667,5.2,738.3,5,40
0,20.79,46.2,20.1,44.53,20.125,45.425,45.9,4.1566666667,91.8333333333,19.2,54.9666666667,16.9633333333,46.9666666667,5.1333333333,738.4,4.8333333333,40
0,20.7,46.26,20.1,44.59,20.1333333333,45.4,45.9,4.1566666667,92.5666666667,19.2,54.9666666667,17,47.23,5.0666666667,738.5,4.6666666667,40
0,20.7,46.2,20,44.4333333333,20.2,45.5,45.9,4.3333333333,93.53,19.2,54.9,17,47.3633333333,5,738.6,4.5,40
0,20.6,46.2,20,44.5,20.2,45.5,45.9,4.3333333333,93.3233333333,19.2,54.8633333333,17,47.53,4.9333333333,738.7,4.3333333333,40
0,20.6,46.1266666667,20,44.5,20.2,45.4,45.9,4.19,93.1266666667,19.1333333333,54.79,17,47.6633333333,4.8666666667,738.8,4.1666666667,40
0,20.5666666667,46.0666666667,19.89,44.59,20.2,45.4,46,4.0633333333,92.8666666667,19.2,54.9,17,47.8266666667,4.8,738.9,4,40
0,20.5,46.2,19.8233333333,44.53,20.29,45.4666666667,46,3.8633333333,92.9666666667,19.2,54.9666666667,17,47.9,4.8166666667,739.0166666667,4.3333333333,40
0,20.5,46.29,19.79,44.53,20.29,45.4,46.03,3.79,93.0933333333,19.2,55.09,17,48.03,4.8333333333,739.1333333333,4.6666666667,40
0,20.4266666667,46.23,19.79,44.53,20.2,45.4,46.1633333333,3.895,94.045,19.2,55.03,17,48.09,4.85,739.25,5,40
0,20.39,46.29,19.76,44.59,20.2,45.4,46.2,4.19,94.6566666667,19.2,54.8633333333,17.0666666667,48.29,4.8666666667,739.3666666667,5.3333333333,40
0,20.39,46.3633333333,19.7,44.59,20.2,45.5,46.26,4.2633333333,94.7966666667,19.2,54.73,17.0666666667,48.3633333333,4.8833333333,739.4833333333,5.6666666667,40
0,20.29,46.5,19.7,44.7,20.26,45.5,46.29,4.4633333333,95.03,19.1,54.56,17.0333333333,48.4633333333,4.9,739.6,6,40
0,20.29,46.545,19.6333333333,44.6266666667,20.29,45.5,46.29,4.59,95.03,19.1,54.5,17.0333333333,48.59,4.9166666667,739.65,5.8333333333,40
0,20.23,46.5,19.6,44.59,20.29,45.5,46.4,4.7266666667,94.8666666667,19.1,54.5,17.0333333333,48.7666666667,4.9333333333,739.7,5.6666666667,40
0,20.2,46.4333333333,19.6,44.59,20.29,45.5,46.4666666667,4.8,94.7266666667,19.1,54.5,17.0333333333,48.9,4.95,739.75,5.5,40
0,20.2,46.56,19.5666666667,44.7,20.29,45.56,46.4666666667,4.8,94.4933333333,19.1,54.4,17.1,49.045,4.9666666667,739.8,5.3333333333,40
0,20.1666666667,46.3633333333,19.5,44.7,20.29,45.59,46.4666666667,4.8,94.2266666667,19.1,54.4,17.1,49.2,4.9833333333,739.85,5.1666666667,40
0,20.1,46.3633333333,19.5,44.79,20.29,45.59,46.59,4.8,94.1266666667,19.1,54.29,17.1,49.26,5,739.9,5,40
0,20.1,46.5,19.4266666667,44.73,20.29,45.59,46.6633333333,4.8,94,19.1,54.23,17.1,49.29,4.9833333333,739.9666666667,4.8333333333,40
0,20.0333333333,46.36,19.39,44.73,20.29,45.59,46.6633333333,4.7633333333,93.5633333333,19.05,54.045,17.1,49.3633333333,4.9666666667,740.0333333333,4.6666666667,40
0,20,46.29,19.39,44.79,20.3566666667,45.59,46.59,4.7633333333,94.0233333333,19,54,17.1,49.4333333333,4.95,740.1,4.5,40
0,20,46.29,19.39,44.79,20.39,45.59,46.6266666667,4.8333333333,94.7266666667,19.0666666667,54,17.1,49.56,4.9333333333,740.1666666667,4.3333333333,40
0,20,46.23,19.39,44.79,20.3233333333,45.59,46.7,4.8333333333,95,19.1,53.9,17.1,49.6266666667,4.9166666667,740.2333333333,4.1666666667,40
0,19.9266666667,46.23,19.29,44.9,20.3233333333,45.59,46.7,4.9,95.53,19.0333333333,53.8266666667,17.1,49.7,4.9,740.3,4,40
10,19.89,46.23,19.29,44.925,20.3233333333,45.59,46.7,4.9975,95.82,19,53.79,17.1,49.8266666667,4.9333333333,740.4333333333,4.1666666667,38.1666666667
0,19.89,46.43,19.29,45,20.29,45.59,46.7,5.09,96.03,19,53.79,17.1,49.9666666667,4.9666666667,740.5666666667,4.3333333333,36.3333333333
0,19.89,46.6266666667,19.29,45.1266666667,20.29,45.59,46.7,5,95.9,19,53.76,17.1333333333,50,5,740.7,4.5,34.5
10,19.89,46.7,19.218,45.2,20.29,45.5,46.7,5,95.9666666667,19,53.7,17.2,50,5.0333333333,740.8333333333,4.6666666667,32.6666666667
0,19.89,46.8633333333,19.2,45.245,20.29,45.4333333333,46.79,4.9666666667,95.9333333333,19,53.875,17.2,50,5.0666666667,740.9666666667,4.8333333333,30.8333333333
10,19.8233333333,46.8633333333,19.2,45.3633333333,20.2,45.29,46.79,4.9,95.9333333333,19,54,17.2,50,5.1,741.1,5,29
10,19.8566666667,46.93,19.2,45.4,20.2,45.29,46.79,4.9333333333,96.09,19,54.06,17.2,50.09,5.1,741.2166666667,5,30.8333333333
20,19.79,46.79,19.2,45.3266666667,20.1666666667,45.29,46.5966666667,4.9333333333,96.09,18.9266666667,53.8,17.2,49.9633333333,5.1,741.3333333333,5,32.6666666667
20,19.79,46.895,19.175,45.195,20.1,45.29,46.2966666667,5,96.09,18.9725,53.15,17.2,49.7233333333,5.1,741.45,5,34.5
20,19.79,47.4266666667,19.1,45.03,20.1,45.29,46.09,5,96.09,18.89,52.8,17.2,49.4633333333,5.1,741.5666666667,5,36.3333333333
30,19.79,48.3666666667,19.1,45,20.1,45.29,45.9666666667,5,96.09,18.8566666667,52.3633333333,17.15,48.995,5.1,741.6833333333,5,38.1666666667
20,19.79,48.6666666667,19.1,45,20.2,45.29,45.9,5.06,96.1566666667,18.79,51.9633333333,17.1,48.6333333333,5.1,741.8,5,40
30,19.79,48.5333333333,19.0666666667,45.06,20.1333333333,45.29,45.76,5.09,96.0266666667,18.79,51.6333333333,17.1,48.36,5.05,741.8833333333,5,40
10,19.89,50,19.0222222222,45.0444444444,20.15,45.245,45.6266666667,5.09,95.76,18.79,51.395,17.1,48.0266666667,5,741.9666666667,5,40
0,19.89,48.7333333333,19.1,45.2,20.1,45.2,45.5266666667,5,95.4566666667,18.7,51.045,17.1,47.7666666667,4.95,742.05,5,40
0,19.89,48.0266666667,19.0333333333,45.1266666667,20.1,45.2,45.4,4.7933333333,94.79,18.7,50.76,17.1,47.4666666667,4.9,742.1333333333,5,40
0,19.89,47.6333333333,19,45.09,20.1,45.2,45.3633333333,4.4666666667,94.1933333333,18.7,50.645,17.0333333333,47.2666666667,4.85,742.2166666667,5,40
0,19.8566666667,47.0633333333,19,45.03,20.1,45.2,45.23,4.2975,94.45,18.7,50.42,17,46.93,4.8,742.3,5,40
0,19.79,46.6566666667,19,44.9666666667,20.1,45.1633333333,45.09,4.0633333333,94.1933333333,18.6333333333,50.1566666667,17.0666666667,46.79,4.8833333333,742.3833333333,5,38.1666666667
0,19.79,46.3333333333,19,44.8266666667,20.1,45.09,44.9666666667,4.03,94.6666666667,18.6666666667,50.0266666667,17.0333333333,46.59,4.9666666667,742.4666666667,5,36.3333333333
0,19.79,46.0666666667,19,44.645,20.1,45.1633333333,44.7666666667,4.09,95,18.6,49.8266666667,17.0333333333,46.39,5.05,742.55,5,34.5
0,19.76,45.8633333333,18.9633333333,44.56,20.0333333333,44.9633333333,44.6633333333,4.1233333333,95.3966666667,18.6,49.6633333333,17,46.1633333333,5.1333333333,742.6333333333,5,32.6666666667
0,19.7,45.79,18.9633333333,44.4333333333,20,44.9,44.59,4.2633333333,95.7966666667,18.6,49.59,17,46.03,5.2166666667,742.7166666667,5,30.8333333333
0,19.7,45.6633333333,18.89,44.29,20,44.9,44.6933333333,4.4633333333,96.26,18.6,49.4666666667,17,45.8633333333,5.3,742.8,5,29
0,19.7,45.59,18.89,44.23,19.89,44.9,45.0266666667,4.73,96.4666666667,18.5333333333,49.4,17,45.73,5.4833333333,742.8833333333,5,30.8333333333
0,19.73,47.7933333333,18.9266666667,44.23,19.89,44.9,45.36,5.03,96.56,18.5,49.26,17,45.6633333333,5.6666666667,742.9666666667,5,32.6666666667
10,19.79,48.7933333333,19,44.3633333333,19.89,44.8633333333,45.56,5.1566666667,96.5,18.5,49.2,17,45.4633333333,5.85,743.05,5,34.5
0,19.89,47.94,19.0333333333,44.5666666667,19.9633333333,44.8633333333,45.1333333333,5.3333333333,96.56,18.5,49.09,17.0333333333,45.29,6.0333333333,743.1333333333,5,36.3333333333
0,19.89,47.16,19.0333333333,44.5666666667,19.9266666667,44.79,44.86,5.4,96.2933333333,18.5,49.09,17.0333333333,45.23,6.2166666667,743.2166666667,5,38.1666666667
0,19.89,46.7666666667,19.0333333333,44.5,20,44.79,44.7,5.53,96.19,18.5,49,17.05,45.245,6.4,743.3,5,40
0,20,46.2966666667,19.1,44.5,20,44.79,44.6266666667,5.7966666667,96.19,18.5,48.9333333333,17.1,45.29,6.5,743.3333333333,5.3333333333,38
0,20,45.9633333333,19.1,44.4666666667,19.9266666667,44.79,44.59,5.8333333333,95.0233333333,18.4266666667,48.59,17.1,45.23,6.6,743.3666666667,5.6666666667,36
0,20,46.2233333333,19.1,44.4,19.945,44.79,44.4633333333,5.9666666667,94.5633333333,18.5,48.4633333333,17.1,45.2,6.7,743.4,6,34
0,20,45.9633333333,19.1,44.29,19.89,44.76,44.1633333333,6.245,93.745,18.5,48.19,17.1,45.1266666667,6.8,743.4333333333,6.3333333333,32
0,20,45.7233333333,19.15,44.245,19.89,44.7,44.03,6.4333333333,91.23,18.5,47.9666666667,17.1,45.2,6.9,743.4666666667,6.6666666667,30
0,20,45.6633333333,19.2,44.2,19.9633333333,44.7,43.9,6.5,88.8966666667,18.5666666667,47.8266666667,17.1,45.2,7,743.5,7,28
0,20.0333333333,45.5,19.2,44.1266666667,19.9633333333,44.7,43.6933333333,6.59,85.4633333333,18.5666666667,47.59,17.1,45.06,7.0833333333,743.5,7,30
0,20.1,45.6933333333,19.2,43.9,20,44.79,43.845,6.6566666667,84.3966666667,18.55,47.545,17.1,45,7.1666666667,743.5,7,32
0,20.1,45.4,19.2,43.9,20,44.79,43.8266666667,6.9333333333,83.1,18.6,47.3522222222,17.1,44.8633333333,7.25,743.5,7,34
0,20.1,45.3266666667,19.2,43.856,19.9633333333,44.79,43.9666666667,7.1266666667,82.8933333333,18.6,47.2,17.1,44.79,7.3333333333,743.5,7,36
0,20.1,45.3266666667,19.2,43.7,19.89,44.79,44.09,7.4333333333,82.3333333333,18.5,47.2,17.1,44.7,7.4166666667,743.5,7,38
0,20.1666666667,46.9933333333,19.2,43.76,19.89,44.79,44.1633333333,7.5,81,18.5,47.1266666667,17.1666666667,44.6266666667,7.5,743.5,7,40
0,20.1,46.43,19.1,43.8175,19.89,44.79,44.16,7.4,80.36,18.5,47.23,17.1666666667,44.56,7.4166666667,743.5,7.1666666667,40
0,20.1,46.03,19.1,43.838125,19.89,44.79,44.0266666667,7.4666666667,80.36,18.5,47.29,17.1,44.5,7.3333333333,743.5,7.3333333333,40
0,20.0666666667,45.3633333333,19.1,43.745,19.89,44.8633333333,43.8633333333,7.6566666667,78.79,18.5,47.33,17.1,44.4,7.25,743.5,7.5,40
0,20,44.9633333333,19.1,43.5955555556,19.89,44.8266666667,43.53,7.53,78.19,18.5,47.2825,17.1,44.3266666667,7.1666666667,743.5,7.6666666667,40
0,20,44.76,19.1,43.4888888889,19.89,44.9,43.5,7.6233333333,78.73,18.5,47.1371428571,17.1,44.29,7.0833333333,743.5,7.8333333333,40
0,20,44.595,19.1,43.425,19.89,44.9,43.5,7.69,77.1966666667,18.5,47.0113333333,17.1,44.23,7,743.5,8,40
0,20,44.4333333333,19.1,43.334,19.89,44.9,43.4666666667,7.56,76.3233333333,18.5,46.9166666667,17.1,44.2,6.9833333333,743.55,7.5,40
0,20,44.26,19.1,43.29,19.89,44.9,43.4,7.4333333333,76.4633333333,18.5,46.8633333333,17.1,44.2,6.9666666667,743.6,7,40
0,20,44.2,19.1,43.29,19.89,44.9,43.2,7.295,77.4,18.5,46.79,17.1,44.1266666667,6.95,743.65,6.5,40
0,20,44.06,19.0333333333,43.23,19.945,44.9,43.1266666667,6.9,77.6333333333,18.5,47,17.1,44,6.9333333333,743.7,6,40
0,20,44.06,19,43.2,19.89,44.9,43.06,6.9666666667,78.8266666667,18.4266666667,46.9333333333,17.1,43.9333333333,6.9166666667,743.75,5.5,40
0,20,44.09,19,43.1266666667,19.89,44.8266666667,43,6.9666666667,79.49,18.4633333333,47,17.1,43.79,6.9,743.8,5,40
0,20,44.03,19,43.09,19.89,44.9,43.06,6.8333333333,78.7566666667,18.39,47,17.1,43.79,6.8,743.8166666667,4.8333333333,40
0,19.9633333333,43.9,18.9266666667,43.09,19.89,44.9,43,6.3666666667,79.06,18.39,46.9,17.1,43.7,6.7,743.8333333333,4.6666666667,40
0,19.9633333333,43.9,19.0333333333,43.06,19.89,44.79,43.145,6.4333333333,82.5333333333,18.4975,46.6725,17.1,43.76,6.6,743.85,4.5,40
0,20,43.8633333333,19.1,43,19.89,44.79,43.1633333333,6.9333333333,81.0266666667,18.6666666667,46.53,17.1666666667,43.79,6.5,743.8666666667,4.3333333333,40
0,20.0666666667,43.8633333333,19.1333333333,42.8633333333,19.89,44.76,43.03,7,76.8333333333,18.79,46.2233333333,17.1666666667,43.79,6.4,743.8833333333,4.1666666667,40
0,20.1,43.79,19.2,42.715,19.89,44.7,42.8633333333,6.9333333333,75.1333333333,18.79,45.9808333333,17.2,43.79,6.3,743.9,4,40
0,20.1,43.73,19.1363636364,42.65,19.89,44.7,42.79,6.7266666667,75.3333333333,18.78,45.8877777778,17.2,43.73,6.3333333333,743.95,4.5,38.1666666667
0,20.1,43.56,19.13,42.59,19.89,44.76,42.59,6.5266666667,73.76,18.7163636364,45.81,17.2,43.6633333333,6.3666666667,744,5,36.3333333333
0,20.1,43.4333333333,19.1,42.59,19.89,44.79,42.59,6.3333333333,73.5,18.7,45.79,17.2,43.53,6.4,744.05,5.5,34.5
0,20.1,43.1633333333,19.0375,42.53375,19.8233333333,44.73,42.59,6.1233333333,75.7,18.7,45.7245454545,17.1,43.4,6.4333333333,744.1,6,32.6666666667
0,20.1,43.03,19.0076923077,42.43,19.79,44.7,42.59,6.19,76.3666666667,18.63125,45.711875,17.1,43.3266666667,6.4666666667,744.15,6.5,30.8333333333
0,20.0666666667,42.8333333333,19,42.4181818182,19.79,44.7,42.56,6.1566666667,76.8933333333,18.6,45.79,17.1,43.26,6.5,744.2,7,29
10,20,42.6725,19,42.4333333333,19.79,44.6633333333,42.56,6.09,77.56,18.6,45.8083333333,17.1,43.2,6.3166666667,744.2833333333,7,30.8333333333
20,20,42.53,18.99,42.4718181818,19.79,44.59,42.6266666667,6.09,77.995,18.6,45.9,17.1,43.145,6.1333333333,744.3666666667,7,32.6666666667
20,20.0333333333,43.4966666667,18.9022222222,42.58,19.8233333333,44.59,42.76,6.06,78.7,18.5363636364,46,17.1,43,5.95,744.45,7,34.5
40,20.0333333333,42.9633333333,18.89,42.56,19.89,44.59,43.5666666667,5.9333333333,81.0333333333,18.5,46,17.1,43,5.7666666667,744.5333333333,7,36.3333333333
30,20,43.16,18.89,42.7966666667,19.89,44.59,43.9,5.5266666667,82.8933333333,18.5,46.1266666667,17.0666666667,42.93,5.5833333333,744.6166666667,7,38.1666666667
40,20,43.9,18.8566666667,43.4,19.79,44.4666666667,43.8333333333,5.26,83.4333333333,18.5,46.3333333333,17,42.8633333333,5.4,744.7,7,40
30,20,43.7,18.8566666667,43.4666666667,19.79,44.4666666667,43.6266666667,5.06,84.2566666667,18.6,46.6266666667,17.0333333333,42.8266666667,5.3,744.75,6.8333333333,40
20,20,43.76,18.9266666667,43.3633333333,19.79,44.4,43.49,4.9333333333,85.0633333333,18.6666666667,46.8333333333,17.0333333333,42.8266666667,5.2,744.8,6.6666666667,40
10,20.0333333333,44,19,43.29,19.79,44.4,43.0966666667,4.9333333333,86.4566666667,18.7,47.0266666667,17,42.7,5.1,744.85,6.5,40
0,20.1,44.26,19.2,43.29,19.89,44.4,42.845,5,87.6633333333,18.76,46.9,17,42.76,5,744.9,6.3333333333,40
0,20.1,44.2,19.245,43.245,19.89,44.3266666667,42.59,4.9,88.6333333333,18.7,46.7675,17,42.79,4.9,744.95,6.1666666667,40
0,20.1,44.1266666667,19.29,43.095,19.79,44.09,42.59,4.9,89.4266666667,18.7,46.645,17,42.79,4.8,745,6,40
0,20.1,44.06,19.37,42.92,19.79,44.09,42.56,4.8666666667,90.2266666667,18.6,46.5,17,42.79,4.75,745.0333333333,6.1666666667,40
0,20.1,44,19.39,42.9,19.79,44.1266666667,42.5,4.8666666667,90.8933333333,18.5333333333,46.56,16.9266666667,42.79,4.7,745.0666666667,6.3333333333,40
0,20.1,43.9,19.39,42.76,19.79,44.2,42.53,4.9333333333,91.4,18.5,46.9,16.89,42.79,4.65,745.1,6.5,40
0,20.1,43.8266666667,19.39,42.7,19.79,44.2,42.53,4.9333333333,91.26,18.5,47.1266666667,16.9633333333,42.8633333333,4.6,745.1333333333,6.6666666667,40
0,20.0333333333,43.73,19.39,42.6633333333,19.79,44.2,42.56,4.6266666667,90.9633333333,18.5,47.26,16.89,42.9,4.55,745.1666666667,6.8333333333,40
0,20.1,43.73,19.39,42.53,19.79,44.29,42.5,4.4,91.2725,18.5,47.3266666667,16.89,42.9,4.5,745.2,7,40
0,20.0666666667,43.49,19.3566666667,42.5,19.79,44.29,42.5,4.3666666667,92.46,18.5,47.4,16.89,42.9,4.5333333333,745.3166666667,6.8333333333,40
0,20,43.29,19.29,42.4333333333,19.79,44.29,42.5,4.53,93.19,18.39,47.4,16.89,42.9,4.5666666667,745.4333333333,6.6666666667,40
0,20,43.145,19.29,42.45,19.79,44.29,42.5,4.59,93.19,18.39,47.4,16.89,42.845,4.6,745.55,6.5,40
0,20,43.06,19.26,42.4666666667,19.79,44.29,42.5,4.56,93.06,18.39,47.4,16.89,42.8266666667,4.6333333333,745.6666666667,6.3333333333,40
0,19.9266666667,43,19.2,42.4,19.79,44.29,42.4666666667,4.3666666667,92.9333333333,18.39,47.4,16.89,42.9,4.6666666667,745.7833333333,6.1666666667,40
0,19.89,42.8633333333,19.2,42.3266666667,19.79,44.29,42.4,4.2633333333,93.3666666667,18.39,47.4,16.89,42.9,4.7,745.9,6,40
0,19.89,42.79,19.2,42.3266666667,19.79,44.26,42.4333333333,4.2633333333,93.8933333333,18.39,47.3266666667,16.89,42.9,4.8,745.95,6.1666666667,38.1666666667
